Symbol,Date,Open,High,Low,Close,Adj Close,Volume
COKE,9/24/2020,231.850006,243.429993,230,239.729996,239.255615,38500
COKE,9/25/2020,238.009995,240.850006,236.360001,240.160004,239.684753,15400
COKE,9/28/2020,242.960007,250,241.110001,241.110001,240.632889,27000
COKE,9/29/2020,241.720001,243.740005,237.710007,238.979996,238.507095,14200
COKE,9/30/2020,239.110001,241.740005,236.630005,240.679993,240.20372,26800
COKE,10/1/2020,241.020004,241.259995,234.009995,239.309998,238.836441,29700
COKE,10/2/2020,235.839996,242.669998,235.839996,242.600006,242.119934,24900
COKE,10/5/2020,244.5,244.759995,239.800003,242.600006,242.119934,13700
COKE,10/6/2020,243.649994,244.550003,237.190002,242.619995,242.139877,40300
COKE,10/7/2020,242.25,243.729996,239.520004,239.720001,239.245621,26300
COKE,10/8/2020,240.309998,242.429993,238.990005,240.330002,239.854431,16800
COKE,10/9/2020,242.110001,243.919998,240.5,242.289993,241.810532,25000
COKE,10/12/2020,244.289993,246.949997,242.490005,245.830002,245.343536,21000
COKE,10/13/2020,246.220001,248.509995,241.259995,248.509995,248.018234,27000
COKE,10/14/2020,248.509995,250.740005,246.300003,250,249.505295,24900
COKE,10/15/2020,246.330002,254.479996,245.630005,253.660004,253.158051,25800
COKE,10/16/2020,253.779999,256.390015,252.779999,254.070007,253.567245,21000
COKE,10/19/2020,256,258.130005,250.559998,250.559998,250.064178,19700
COKE,10/20/2020,253.869995,253.869995,249.589996,250.199997,249.704895,13600
COKE,10/21/2020,251.020004,251.940002,248.339996,248.990005,248.497284,12300
COKE,10/22/2020,250.089996,252.050003,248.649994,250.139999,249.89592,16900
COKE,10/23/2020,251.070007,252.559998,247.520004,247.520004,247.278473,12600
COKE,10/26/2020,246.160004,246.160004,239.759995,241.229996,240.994614,30000
COKE,10/27/2020,239.759995,244.089996,236.5,239.210007,238.976593,26700
COKE,10/28/2020,235.919998,240.009995,232.039993,233.380005,233.152283,31000
COKE,10/29/2020,231.350006,235.990005,230.789993,231.089996,230.864502,24000
COKE,10/30/2020,230.75,235.449997,228.050003,228.949997,228.726593,26700
COKE,11/2/2020,229.410004,232.490005,223.5,226.369995,226.149109,38700
COKE,11/3/2020,228.669998,235,228.669998,232.009995,231.7836,34800
COKE,11/4/2020,240.009995,244.369995,229.800003,232.210007,231.983414,30300
COKE,11/5/2020,236.330002,244.139999,236.330002,241.5,241.264343,37300
COKE,11/6/2020,241.5,242.360001,236.490005,237.5,237.26825,19800
COKE,11/9/2020,247.710007,254.490005,241.25,242.059998,241.823792,48100
COKE,11/10/2020,243.899994,255.940002,242.5,255.589996,255.340591,43000
COKE,11/11/2020,257.179993,260.98999,251.429993,260,259.746307,26700
COKE,11/12/2020,259.350006,259.350006,251.160004,254.410004,254.161758,23000
COKE,11/13/2020,256.429993,259.910004,253.740005,258.470001,258.217804,13700
COKE,11/16/2020,265.140015,267.829987,257.660004,266.75,266.489716,38200
COKE,11/17/2020,263.019989,271,259.019989,269.630005,269.366913,27500
COKE,11/18/2020,269.850006,272.570007,268.26001,268.339996,268.078156,22900
COKE,11/19/2020,266.440002,272.429993,266.440002,268.640015,268.377869,20100
COKE,11/20/2020,266.170013,269.100006,262.070007,263.890015,263.632507,25600
COKE,11/23/2020,265.98999,268.040009,262.350006,262.429993,262.17392,19200
COKE,11/24/2020,263.420013,270.880005,262.850006,270.869995,270.605682,27200
COKE,11/25/2020,267.950012,270.959991,265.329987,265.329987,265.071075,14800
COKE,11/27/2020,265.329987,266.339996,261,264.049988,263.792328,13100
COKE,11/30/2020,264.5,264.5,257.670013,261.690002,261.434662,30800
COKE,12/1/2020,262.640015,265.160004,259.309998,263.25,262.993134,29400
COKE,12/2/2020,262.98999,262.98999,258.279999,258.279999,258.027985,17300
COKE,12/3/2020,257.769989,263.890015,257.769989,261.579987,261.324738,19400
COKE,12/4/2020,262.100006,262.100006,257,258.410004,258.157837,17200
COKE,12/7/2020,257,258.75,255.009995,257.149994,256.899078,19500
COKE,12/8/2020,256.670013,259,255,257.450012,257.198792,38400
COKE,12/9/2020,256.579987,263.200012,255.610001,260.660004,260.40564,23200
COKE,12/10/2020,260.980011,263.910004,256.059998,261,260.745331,13600
COKE,12/11/2020,261.029999,263.01001,257.470001,260.540009,260.285767,15800
COKE,12/14/2020,260.579987,263.73999,260.540009,262.809998,262.553558,17100
COKE,12/15/2020,263.140015,266.790009,261.450012,265.929993,265.670502,16400
COKE,12/16/2020,266.5,268.75,265.799988,267.079987,266.819366,22000
COKE,12/17/2020,268.559998,270.790009,267.049988,268.579987,268.317902,22400
COKE,12/18/2020,270.100006,272.549988,267.5,272.549988,272.284027,130000
COKE,12/21/2020,271.600006,271.600006,262.25,266.600006,266.339874,26900
COKE,12/22/2020,268.480011,268.480011,263.040009,264,263.742401,18200
COKE,12/23/2020,264.540009,270,264.540009,269.019989,268.757477,13400
COKE,12/24/2020,268,268,264.720001,266,265.740448,4700
COKE,12/28/2020,270.26001,270.440002,267.48999,269.269989,269.007233,21300
COKE,12/29/2020,269.299988,270.01001,262.399994,265.269989,265.011139,25300
COKE,12/30/2020,264.679993,267.040009,263.660004,266.5,266.23996,15700
COKE,12/31/2020,265.26001,267.890015,264.420013,266.269989,266.010162,11000
COKE,1/4/2021,266.279999,269.5,262.01001,267.140015,266.879333,23900
COKE,1/5/2021,266.029999,270,264,268.809998,268.547699,29000
COKE,1/6/2021,268.589996,273,268.01001,270.470001,270.206085,38100
COKE,1/7/2021,270.540009,270.600006,267.339996,270.040009,269.77652,25900
COKE,1/8/2021,270.940002,272.579987,269.519989,272.420013,272.154175,27700
COKE,1/11/2021,270.839996,271.790009,263.079987,267.390015,267.129089,24500
COKE,1/12/2021,267.299988,269.579987,264,267.779999,267.518707,27600
COKE,1/13/2021,266.149994,267.440002,262.109985,262.109985,261.854218,23900
COKE,1/14/2021,263.290009,265.790009,258.51001,258.570007,258.317688,30300
COKE,1/15/2021,256.929993,260.970001,254.279999,255.179993,254.930984,23200
COKE,1/19/2021,255.779999,258.940002,254.25,255.559998,255.310623,20400
COKE,1/20/2021,257.730011,257.790009,252.649994,256.209991,255.959991,27600
COKE,1/21/2021,257.869995,258.5,253.770004,257.5,257.5,21600
COKE,1/22/2021,257,262.98999,255.630005,262.339996,262.339996,22900
COKE,1/25/2021,263.709991,269.98999,256.23999,267.23999,267.23999,31900
COKE,1/26/2021,269.899994,276.410004,267.73999,275.279999,275.279999,27400
COKE,1/27/2021,272.619995,275,265.720001,272.869995,272.869995,22600
COKE,1/28/2021,271.660004,273.799988,266,267.649994,267.649994,28100
COKE,1/29/2021,270.390015,272.920013,266.320007,266.859985,266.859985,33900
COKE,2/1/2021,266.23999,271.649994,263.149994,268.820007,268.820007,28800
COKE,2/2/2021,269.48999,272.959991,269.359985,269.73999,269.73999,18300
COKE,2/3/2021,268.440002,268.440002,264.399994,267.899994,267.899994,19500
COKE,2/4/2021,267.700012,271.850006,266.140015,271.850006,271.850006,18000
COKE,2/5/2021,271.640015,274.290009,269.049988,273.649994,273.649994,22100
COKE,2/8/2021,274.98999,278.390015,273.5,277.799988,277.799988,23800
COKE,2/9/2021,278.369995,284.980011,277.089996,283.200012,283.200012,30800
COKE,2/10/2021,285.200012,289.089996,279.769989,279.779999,279.779999,31200
COKE,2/11/2021,281.299988,282.910004,275.869995,279.679993,279.679993,22600
COKE,2/12/2021,279.540009,279.540009,274,277.399994,277.399994,15700
COKE,2/16/2021,275.109985,278.329987,272.130005,273.730011,273.730011,24200
COKE,2/17/2021,274.48999,279.890015,271,271.769989,271.769989,39600
COKE,2/18/2021,270.220001,273.670013,268.149994,268.600006,268.600006,18400
COKE,2/19/2021,267.920013,269.549988,262.950012,264.880005,264.880005,28800
